"","TP","Site","Transect_ID","PQ","Category","Total_cover"
"363","April_2022","CB","CB2","9","Black Turf",0
"364","April_2022","CB","CB2","9","Branching Acropora",0
"365","April_2022","CB","CB2","9","Encrusting Montipora",6
"366","April_2022","CB","CB2","9","Goniopora",0
"367","April_2022","CB","CB2","9","Green Turf",1
"368","April_2022","CB","CB2","9","Macroalgae",26
"369","April_2022","CB","CB2","9","Other",0
"370","April_2022","CB","CB2","9","Other Turf",7
"371","April_2022","CB","CB2","9","Other benthic invertebrates",0
"372","April_2022","CB","CB2","9","Other hard coral",0
"373","April_2022","CB","CB2","9","Plating Acropora",0
"374","April_2022","CB","CB2","9","Plating Montipora",0
"375","April_2022","CB","CB2","9","Platygyra",35
"376","April_2022","CB","CB2","9","Pocilloporidae",0
"377","April_2022","CB","CB2","9","Porites",0
"378","April_2022","CB","CB2","9","Red Turf",0
"379","April_2022","CB","CB2","9","Rubble and Rock",0
"380","April_2022","CB","CB2","9","Sand",25
"381","April_2022","CB","CB3","1","Acanthastrea",0
"382","April_2022","CB","CB3","1","Black Turf",0
"383","April_2022","CB","CB3","1","Branching Acropora",0
"384","April_2022","CB","CB3","1","Encrusting Montipora",12
"385","April_2022","CB","CB3","1","Goniopora",0
"386","April_2022","CB","CB3","1","Green Turf",0
"387","April_2022","CB","CB3","1","Macroalgae",25
"388","April_2022","CB","CB3","1","Other",0
"389","April_2022","CB","CB3","1","Other Turf",4
"390","April_2022","CB","CB3","1","Other benthic invertebrates",0
"391","April_2022","CB","CB3","1","Other hard coral",0
"392","April_2022","CB","CB3","1","Plating Acropora",0
"393","April_2022","CB","CB3","1","Plating Montipora",1
"394","April_2022","CB","CB3","1","Platygyra",0
"395","April_2022","CB","CB3","1","Pocilloporidae",11
"396","April_2022","CB","CB3","1","Porites",0
"397","April_2022","CB","CB3","1","Red Turf",0
"398","April_2022","CB","CB3","1","Rubble and Rock",1
"399","April_2022","CB","CB3","1","Sand",46
"400","April_2022","CB","CB3","10","Acanthastrea",0
"401","April_2022","CB","CB3","10","Black Turf",0
"402","April_2022","CB","CB3","10","Branching Acropora",0
"403","April_2022","CB","CB3","10","Encrusting Montipora",0
"404","April_2022","CB","CB3","10","Goniopora",0
"405","April_2022","CB","CB3","10","Green Turf",0
"406","April_2022","CB","CB3","10","Macroalgae",25
"407","April_2022","CB","CB3","10","Other",0
"408","April_2022","CB","CB3","10","Other Turf",25
"409","April_2022","CB","CB3","10","Other benthic invertebrates",2
"410","April_2022","CB","CB3","10","Other hard coral",0
"411","April_2022","CB","CB3","10","Plating Acropora",0
"412","April_2022","CB","CB3","10","Plating Montipora",0
"413","April_2022","CB","CB3","10","Platygyra",0
"414","April_2022","CB","CB3","10","Pocilloporidae",29
"415","April_2022","CB","CB3","10","Porites",0
"416","April_2022","CB","CB3","10","Red Turf",0
"417","April_2022","CB","CB3","10","Rubble and Rock",0
"418","April_2022","CB","CB3","10","Sand",19
"419","April_2022","CB","CB3","2","Acanthastrea",0
"420","April_2022","CB","CB3","2","Black Turf",0
"421","April_2022","CB","CB3","2","Branching Acropora",0
